Valor	Superf	Dorm	Banys	Edat	Estat	Planta	Dist	ValSol	Tipus	Ascens	ExtInt	Reforma
18986880	109.12	4	1	65	2_M	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF5A10
8417076	67	4	1	99	1_MM	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	REF>20
6424000	44	1	1	150	1_MM	Planta	Ciutat_Vella	100036.25	MANZ	NO	EXT	REF>20
10469000	55.1	3	1	80	3_N	Planta	Ciutat_Vella	104022.02	MANZ	NO	EXT	REF5A10
8673500	41.5	2	1	80	4_B	Planta	Ciutat_Vella	104022.02	MANZ	NO	EXT	RECIENREF
5734200	38	1	1	100	2_M	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF10-15
12036000	118	4	2	152	1_MM	Bajos	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF15-20
6580000	47	2	1	80	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
9545520	64.15	2	1	90	3_N	Planta	Ciutat_Vella	74793.04	MANZ	NO	EXT	REF1A5
10250000	50	3	1	80	2_M	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	REF1A5
8000000	50	1	1	128	3_N	Planta	Ciutat_Vella	100036.25	MANZ	NO	EXT	RECIENREF
13000000	65	1	1	90	2_M	Planta	Ciutat_Vella	146536.9	MANZ	NO	EXT	RECIENREF
7990000	47	2	1	50	1_MM	Atic	Ciutat_Vella	133251	MANZ	NO	EXT	SINREFORMA
6224490	62	3	1	80	1_MM	Planta	Ciutat_Vella	80107.4	MANZ	NO	INT	REF5A10
8361600	69.68	2	1	90	1_MM	Planta	Ciutat_Vella	80107.4	MANZ	NO	EXT	SINREFORMA
11550000	55	2	1	100	3_N	Atic	Ciutat_Vella	119965.1	MANZ	NO	EXT	RECIENREF
5700000	38	1	1	150	3_N	Planta	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF5A10
7500000	60	2	1	150	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
7742000	49	1	2	80	1_MM	Planta	Ciutat_Vella	97379.07	MANZ	NO	EXT	REF1A5
9265000	54.5	2	1	50	3_N	Atic	Ciutat_Vella	93393.3	MANZ	NO	EXT	REF1A5
11544000	62.4	2	1	90	1_MM	Planta	Ciutat_Vella	126608.05	MANZ	NO	EXT	REF1A5
13849600	64	2	1	70	3_N	Atic	Ciutat_Vella	126608.05	MANZ	NO	EXT	RECIENREF
10471000	56.6	3	1	37	2_M	Planta	Ciutat_Vella	104022.02	MANZ	NO	EXT	REF15-20
12928496	66.3	4	1	80	2_M	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	RECIENREF
10150000	70	2	1	90	2_M	Planta	Ciutat_Vella	73464.45	MANZ	NO	EXT	REF1A5
29574000	106	3	2	95	3_N	Planta	Ciutat_Vella	173108.7	MANZ	SI	EXT	REF5A10
11000000	50	2	1	40	2_M	Planta	Ciutat_Vella	146536.9	MANZ	NO	EXT	REF5A10
18841600	81.92	3	2	60	2_M	Planta	Ciutat_Vella	153179.85	MANZ	NO	EXT	REF1A5
8694000	37.8	2	1	70	2_M	Planta	Ciutat_Vella	133251	MANZ	NO	EXT	REF1A5
13455000	69	3	1	100	2_M	Planta	Ciutat_Vella	126608.05	MANZ	NO	EXT	RECIENREF
15318128	150.68	4	2	100	1_MM	Planta	Ciutat_Vella	86750.35	MANZ	NO	EXT	REF>20
11126500	93.5	4	1	110	1_MM	Planta	Ciutat_Vella	92729.005	MANZ	NO	EXT	SINREFORMA
11445000	54.5	3	1	105	1_MM	Planta	Ciutat_Vella	146536.9	MANZ	NO	EXT	REF>20
7740000	43	1	1	70	2_M	Planta	Ciutat_Vella	113322.15	MANZ	NO	INT	REF1A5
8014500	58.5	2	1	90	1_MM	Planta	Ciutat_Vella	100036.25	MANZ	SI	EXT	SINREFORMA
12772200	60.82	2	1	100	3_N	Planta	Ciutat_Vella	133251	MANZ	NO	INT	REF1A5
8829540	44.82	2	1	50	5_MB	Planta	Ciutat_Vella	113322.15	MANZ	NO	EXT	REF1A5
6012500	37	2	1	100	2_M	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF15-20
11980500	57.05	1	1	100	5_MB	Planta	Ciutat_Vella	106679.2	MANZ	SI	EXT	RECIENREF
22309152	120.59	3	1	100	2_M	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF5A10
23958000	145.2	2	1	120	2_M	Planta	Ciutat_Vella	87016.068	MANZ	NO	EXT	REF1A5
25217496	144.1	2	2	75	1_MM	Planta	Ciutat_Vella	106679.2	MANZ	SI	EXT	REF5A10
16263004	54.21	2	2	0	5_MB	Planta	Ciutat_Vella	186394.6	MANZ	SI	EXT	OBRANUEVA
27015472	176	3	1	105	1_MM	Planta	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF1A5
4776000	60	1	1	100	1_MM	Planta	Ciutat_Vella	89407.53	MANZ	NO	EXT	SINREFORMA
18165000	105	3	1	140	2_M	Atic	Ciutat_Vella	106679.2	MANZ	NO	EXT	REF1A5
