199605 98.300 98.420 103.000 100.580 102.520 96.700 
199606 103.300 103.320 106.400 96.080 107.070 100.900 
199607 97.200 97.620 102.200 97.180 102.350 106.900 
199608 76.900 91.420 49.900 90.180 107.760 93.400 
199609 100.900 107.420 102.500 99.780 109.460 106.700 
199610 111.300 106.820 102.800 108.880 107.700 106.700 
199611 104.400 109.720 106.600 107.380 106.640 106.500 
199612 105.300 100.120 91.200 99.080 105.430 105.200 
199701 104.400 95.020 94.300 103.680 106.180 98.400 
199702 100.600 97.920 107.200 100.880 108.590 104.100 
199703 104.400 110.020 107.300 107.480 108.970 118.700 
199704 108.900 102.620 105.800 102.380 109.380 104.900 
199705 100.300 100.120 107.100 99.480 108.750 103.000 
199706 108.100 108.220 109.000 99.980 112.910 107.800 
199707 101.700 104.720 107.500 100.880 109.230 111.300 
199708 80.100 93.520 53.200 89.590 114.920 96.500 
199709 107.200 109.820 107.900 104.280 116.820 111.100 
199710 119.000 112.120 109.800 109.980 116.470 108.400 
199711 108.100 114.520 113.000 105.080 114.890 103.600 
199712 114.100 104.720 100.100 101.080 113.580 104.300 
199801 109.400 101.220 101.500 100.880 113.940 96.000 
199802 107.800 103.720 111.500 101.480 115.580 99.000 
199803 117.600 116.620 110.300 112.980 116.690 112.700 
199804 112.200 108.320 106.800 102.280 114.940 97.300 
199805 106.200 107.120 111.300 98.080 115.540 91.100 
199806 115.200 111.320 109.800 103.780 117.830 99.600 
199807 106.500 109.120 108.700 100.980 113.850 101.200 
199808 83.600 98.820 52.000 91.080 120.810 87.800 
199809 111.300 113.620 109.200 104.680 121.270 102.700 
199810 119.400 114.820 109.400 107.780 121.160 99.800 
199811 115.700 115.220 111.300 107.680 118.120 97.500 
199812 116.600 105.120 93.400 102.480 116.590 97.300 
199901 108.400 101.920 101.400 98.980 117.580 88.200 
199902 108.600 102.920 108.900 100.780 119.230 95.400 
199903 119.500 114.920 107.900 114.180 121.090 112.500 
199904 112.300 108.220 104.300 101.080 119.260 95.300 
199905 107.100 107.120 105.800 98.180 119.630 90.900 
199906 119.100 112.520 108.500 103.280 123.530 100.100 
199907 106.900 109.620 109.200 99.280 119.160 101.800 
199908 86.800 101.420 55.500 94.780 125.400 92.700 
199909 114.600 117.120 108.900 106.680 126.050 106.000 
199910 121.900 118.920 112.300 106.380 126.590 101.300 
199911 121.200 119.920 114.700 112.380 124.400 104.300 
199912 122.200 109.420 97.800 104.380 123.180 103.100 
200001 114.400 104.820 101.500 101.680 124.390 93.500 
200002 116.200 109.020 112.400 108.180 126.280 103.400 
200003 126.000 122.420 112.300 118.580 128.070 117.800 
200004 112.800 115.720 112.900 98.180 126.890 101.400 
200005 116.300 115.520 112.900 104.180 127.070 97.600 
200006 117.500 118.720 113.400 105.080 131.830 107.500 
200007 109.300 118.220 113.400 97.580 125.910 106.100 
200008 91.700 108.120 59.900 98.180 132.610 100.800 
200009 115.700 125.520 114.400 103.980 134.060 110.200 
200010 127.000 125.720 113.000 109.580 132.750 108.100 
200011 125.800 126.620 117.400 112.680 130.010 108.200 
200012 121.500 116.420 110.400 101.380 127.820 107.300 
