 444.2       160.1   90.7     179.5      195.1     177.4        61.4      12.6      19.4     192.9     108.2         20.7
 39.6        176.3    106.7    150.6      91.1     28.4           9.1       82.5     11.8     137.8   323.7          510.1
 188.0       208.1    15.7     107.5       30.9      26.7         14.5     11.8       65.2     422.0   136.9          170.9
 340.1       194.6    238.7     78.0       32.7       65.0        84.7      57.8     151.8      149.3    273.5         22.0
 73.1         56.4     98.8      86.6     105.6      87.5          5.1      200.2      153.0   177.3    185.3         225.3
 193.2        19.2     50.1    197.8      244.6      145.3         4.6       46.6     251.7    354.0     141.7         222.9
 342.2       225.5     33.8     80.6      291.9       29.0        14.3        60.9    157.4     166.6     251.7        397.7
 339.2       243.9     70.0     41.5     132.3       48.9         96.7       23.6     182.6    146.7      423.1        432.2
 342.5          0.    181.9     58.2     230.7     7.9         45.7        51.9      113.4     132.3     255.3         187.1               
  171.5      175.0      .0      33.2     251.1       155.5        8.3       107.4      21.1     220.9     414.2        302.4
 
