199504 101.991 95.678 101.429 104.915 112.709 85.214 99.663 
199505 103.559 99.296 100.448 108.265 116.462 78.268 103.453 
199506 98.821 98.905 96.407 108.108 118.834 73.606 103.053 
199507 102.075 105.303 100.394 112.958 122.808 84.559 107.793 
199508 100.127 106.232 100.585 113.431 120.255 91.858 109.042 
199509 95.074 103.799 97.688 114.423 124.911 90.823 107.312 
199510 96.439 102.891 91.979 115.104 124.034 89.513 103.933 
199511 97.197 106.447 87.464 119.514 132.355 95.038 109.404 
199512 99.520 106.971 93.291 120.329 133.467 100.736 112.305 
199601 107.444 117.235 98.092 122.613 140.722 105.525 115.909 
199602 105.836 117.397 96.014 121.579 143.078 102.040 121.246 
199603 108.707 117.981 91.919 120.669 145.726 108.537 119.874 
199604 114.130 118.901 104.074 124.524 145.368 111.754 125.758 
199605 112.178 120.683 105.790 122.237 147.188 111.323 126.568 
199606 112.903 121.566 104.087 121.037 147.486 114.236 130.972 
199607 106.108 117.387 94.897 120.783 144.207 104.917 123.018 
199608 104.764 120.732 94.771 126.145 146.484 102.251 124.200 
199609 113.387 125.859 100.600 128.953 153.421 109.296 129.218 
199610 113.796 126.210 95.546 129.781 157.261 103.772 131.835 
199611 123.108 135.051 104.044 132.355 170.102 106.578 141.818 
199612 123.112 137.100 105.443 134.328 168.186 98.166 156.060 
199701 133.788 145.453 121.729 139.459 177.702 92.937 163.365 
199702 138.626 154.663 117.335 140.519 179.388 94.088 163.221 
199703 141.238 155.741 117.218 140.669 171.713 91.281 165.986 
199704 140.322 165.690 121.459 144.684 182.809 97.100 180.123 
199705 137.371 169.090 119.875 150.727 191.211 101.753 192.095 
199706 151.954 178.780 132.133 150.183 200.125 104.472 210.744 
199707 163.512 209.090 146.866 160.062 214.466 103.085 210.070 
199708 147.288 186.037 138.797 157.127 198.811 92.427 201.691 
199709 159.929 197.195 157.508 171.044 207.232 90.695 222.821 
199710 145.630 178.152 146.922 157.935 194.107 83.450 196.821 
199711 152.004 188.518 151.875 157.593 204.046 84.350 212.333 
199712 159.432 200.489 166.642 167.498 206.266 77.365 221.947 
