Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu_mitja_habitatge,Valor
2019,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Nou. Milers d'euros,NA
2019,2,5,Sarrià-Sant Gervasi,23,Sarrià,Nou. Milers d'euros,NA
2019,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,Nou. Milers d'euros,NA
2019,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Nou. Milers d'euros,719.6
2019,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Nou. Milers d'euros,531.3
2019,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Nou. Milers d'euros,307.5
2019,2,6,Gràcia,28,Vallcarca i els Penitents,Nou. Milers d'euros,290
2019,2,6,Gràcia,29,el Coll,Nou. Milers d'euros,NA
2019,2,6,Gràcia,30,la Salut,Nou. Milers d'euros,NA
2019,2,6,Gràcia,31,la Vila de Gràcia,Nou. Milers d'euros,285.3
2019,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Nou. Milers d'euros,NA
2019,2,7,Horta-Guinardó,33,el Baix Guinardó,Nou. Milers d'euros,NA
2019,2,7,Horta-Guinardó,34,Can Baró,Nou. Milers d'euros,NA
2019,2,7,Horta-Guinardó,35,el Guinardó,Nou. Milers d'euros,320
2019,2,7,Horta-Guinardó,36,la Font d'en Fargues,Nou. Milers d'euros,NA
2019,2,7,Horta-Guinardó,37,el Carmel,Nou. Milers d'euros,234.6
2019,2,7,Horta-Guinardó,38,la Teixonera,Nou. Milers d'euros,172.8
2019,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,Nou. Milers d'euros,195.4
2019,2,7,Horta-Guinardó,40,Montbau,Nou. Milers d'euros,165
2019,2,7,Horta-Guinardó,41,la Vall d'Hebron,Nou. Milers d'euros,191.7
2019,2,7,Horta-Guinardó,42,la Clota,Nou. Milers d'euros,NA
2019,2,7,Horta-Guinardó,43,Horta,Nou. Milers d'euros,200.7
2019,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,45,Porta,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,46,el Turó de la Peira,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,47,Can Peguera,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,48,la Guineueta,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,49,Canyelles,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,50,les Roquetes,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,51,Verdun,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,52,la Prosperitat,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,53,la Trinitat Nova,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,54,Torre Baró,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,55,Ciutat Meridiana,Nou. Milers d'euros,NA
2019,2,8,Nou Barris,56,Vallbona,Nou. Milers d'euros,NA
2019,2,9,Sant Andreu,57,la Trinitat Vella,Nou. Milers d'euros,NA
