Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu_mitja_habitatge,Valor
2019,1,1,Ciutat Vella,1,el Raval,Total. Milers d'euros,236.7
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Total. Milers d'euros,411.7
2019,1,1,Ciutat Vella,3,la Barceloneta,Total. Milers d'euros,215.6
2019,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Total. Milers d'euros,306
2019,1,2,Eixample,5,el Fort Pienc,Total. Milers d'euros,582.2
2019,1,2,Eixample,6,la Sagrada Família,Total. Milers d'euros,297.2
2019,1,2,Eixample,7,la Dreta de l'Eixample,Total. Milers d'euros,475.3
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Total. Milers d'euros,396.3
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,Total. Milers d'euros,342.2
2019,1,2,Eixample,10,Sant Antoni,Total. Milers d'euros,356.7
2019,1,3,Sants-Montjuïc,11,el Poble Sec,Total. Milers d'euros,324.7
2019,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Total. Milers d'euros,NA
2019,1,3,Sants-Montjuïc,13,la Marina de Port,Total. Milers d'euros,191.2
2019,1,3,Sants-Montjuïc,14,la Font de la Guatlla,Total. Milers d'euros,247.7
2019,1,3,Sants-Montjuïc,15,Hostafrancs,Total. Milers d'euros,210.6
2019,1,3,Sants-Montjuïc,16,la Bordeta,Total. Milers d'euros,188.6
2019,1,3,Sants-Montjuïc,17,Sants - Badal,Total. Milers d'euros,248
2019,1,3,Sants-Montjuïc,18,Sants,Total. Milers d'euros,290.6
2019,1,4,Les Corts,19,les Corts,Total. Milers d'euros,411.6
2019,1,4,Les Corts,20,la Maternitat i Sant Ramon,Total. Milers d'euros,410.5
2019,1,4,Les Corts,21,Pedralbes,Total. Milers d'euros,1011.8
2019,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Total. Milers d'euros,380.6
2019,1,5,Sarrià-Sant Gervasi,23,Sarrià,Total. Milers d'euros,734.1
2019,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,Total. Milers d'euros,853.2
2019,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Total. Milers d'euros,747.4
2019,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Total. Milers d'euros,637
2019,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Total. Milers d'euros,448.6
2019,1,6,Gràcia,28,Vallcarca i els Penitents,Total. Milers d'euros,273.1
2019,1,6,Gràcia,29,el Coll,Total. Milers d'euros,194.4
2019,1,6,Gràcia,30,la Salut,Total. Milers d'euros,379.6
2019,1,6,Gràcia,31,la Vila de Gràcia,Total. Milers d'euros,468.5
2019,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Total. Milers d'euros,340.5
2019,1,7,Horta-Guinardó,33,el Baix Guinardó,Total. Milers d'euros,280.3
2019,1,7,Horta-Guinardó,34,Can Baró,Total. Milers d'euros,252.2
2019,1,7,Horta-Guinardó,35,el Guinardó,Total. Milers d'euros,262.8
2019,1,7,Horta-Guinardó,36,la Font d'en Fargues,Total. Milers d'euros,202.6
